client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
byungkeun_us,head -c 10000000 < /dev/urandom > test_file1,,0:00:00.370512,1674902178.135321,0.370512
byungkeun_us,ipfs add test_file1,QmY5cF3rrW7T2Xh4atA9GP6bKrw7gYTe9RsH2PYZtH6qQ5,0:00:01.181174,1674902180.698532,1.181174
byungkeun_kr,ipfs cat QmY5cF3rrW7T2Xh4atA9GP6bKrw7gYTe9RsH2PYZtH6qQ5 > read_file1,,0:00:09.778603,1674902191.882143,9.778603
taekyung_kr,ipfs cat QmY5cF3rrW7T2Xh4atA9GP6bKrw7gYTe9RsH2PYZtH6qQ5 > read_file1,,0:00:04.659794,1674902199.570688,4.659794
yeongbin_us,ipfs cat QmY5cF3rrW7T2Xh4atA9GP6bKrw7gYTe9RsH2PYZtH6qQ5 > read_file1,,0:00:09.312233,1674902210.615175,9.312233
byungkil_kr,ipfs cat QmY5cF3rrW7T2Xh4atA9GP6bKrw7gYTe9RsH2PYZtH6qQ5 > read_file1,,0:00:02.919363,1674902215.046639,2.919363
yeongbin_kr,ipfs cat QmY5cF3rrW7T2Xh4atA9GP6bKrw7gYTe9RsH2PYZtH6qQ5 > read_file1,,0:00:02.444496,1674902218.440841,2.444496
byungkeun_us,head -c 10000000 < /dev/urandom > test_file2,,0:00:00.375052,1674902220.397051,0.375052
byungkeun_us,ipfs add test_file2,QmV4RR6uWq1VtPQ4ewRALuKaihKnP7LLZ4gzcYkYD3quqb,0:00:12.803995,1674902234.525642,12.803995
byungkeun_kr,ipfs cat QmV4RR6uWq1VtPQ4ewRALuKaihKnP7LLZ4gzcYkYD3quqb > read_file2,,0:00:09.368496,1674902245.367616,9.368496
taekyung_kr,ipfs cat QmV4RR6uWq1VtPQ4ewRALuKaihKnP7LLZ4gzcYkYD3quqb > read_file2,,0:00:04.784446,1674902253.256449,4.784446
byungkil_kr,ipfs cat QmV4RR6uWq1VtPQ4ewRALuKaihKnP7LLZ4gzcYkYD3quqb > read_file2,,0:00:02.659220,1674902257.644611,2.65922
yeongbin_us,ipfs cat QmV4RR6uWq1VtPQ4ewRALuKaihKnP7LLZ4gzcYkYD3quqb > read_file2,,0:00:11.342238,1674902270.381306,11.342238
yeongbin_kr,ipfs cat QmV4RR6uWq1VtPQ4ewRALuKaihKnP7LLZ4gzcYkYD3quqb > read_file2,,0:00:02.600567,1674902273.88305,2.600567
byungkeun_us,head -c 10000000 < /dev/urandom > test_file3,,0:00:00.379543,1674902275.906688,0.379543
byungkeun_us,ipfs add test_file3,QmeFngDpWvqPA51wb9wixWCJvWfh5NTdDMiJXss2ZSBFSF,0:00:01.050769,1674902278.301862,1.050769
