client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 1024 < /dev/urandom > test_file1,,0:00:00.019927,1674112231.834196,0.019927
yeongbin_us,ipfs add test_file1,QmXokHVwV7LVB8sYiruNLvhDtjASqsD8xtV93UXVGmqdXX,0:00:00.144240,1674112233.381574,0.14424
byungkeun_us,ipfs cat QmXokHVwV7LVB8sYiruNLvhDtjASqsD8xtV93UXVGmqdXX > read_file1,,0:00:00.224910,1674112234.948563,0.22491
byungkeun_kr,ipfs cat QmXokHVwV7LVB8sYiruNLvhDtjASqsD8xtV93UXVGmqdXX > read_file1,,0:00:00.444247,1674112236.774472,0.444247
taekyung_kr,ipfs cat QmXokHVwV7LVB8sYiruNLvhDtjASqsD8xtV93UXVGmqdXX > read_file1,,0:00:00.338103,1674112240.230986,0.338103
yeongbin_kr,ipfs cat QmXokHVwV7LVB8sYiruNLvhDtjASqsD8xtV93UXVGmqdXX > read_file1,,0:00:00.164932,1674112242.165475,0.164932
yeongbin_us,head -c 1024 < /dev/urandom > test_file2,,0:00:00.012610,1674112243.581045,0.01261
yeongbin_us,ipfs add test_file2,QmcsCXkPxhTppDGekw4EHyfmRxijy49TzqdtWSjCYeAn16,0:00:00.158022,1674112245.146786,0.158022
byungkeun_us,ipfs cat QmcsCXkPxhTppDGekw4EHyfmRxijy49TzqdtWSjCYeAn16 > read_file2,,0:00:00.243877,1674112246.704944,0.243877
byungkeun_kr,ipfs cat QmcsCXkPxhTppDGekw4EHyfmRxijy49TzqdtWSjCYeAn16 > read_file2,,0:00:00.431291,1674112248.53688,0.431291
taekyung_kr,ipfs cat QmcsCXkPxhTppDGekw4EHyfmRxijy49TzqdtWSjCYeAn16 > read_file2,,0:00:00.340102,1674112251.83151,0.340102
yeongbin_kr,ipfs cat QmcsCXkPxhTppDGekw4EHyfmRxijy49TzqdtWSjCYeAn16 > read_file2,,0:00:00.235389,1674112253.771203,0.235389
yeongbin_us,head -c 5120 < /dev/urandom > test_file3,,0:00:00.012585,1674112255.262828,0.012585
yeongbin_us,ipfs add test_file3,QmV9XB14KxKCw3ztH2QBVVcjGVX1AsB8bgtekFPE5UteDZ,0:00:00.147448,1674112256.724708,0.147448
byungkeun_us,ipfs cat QmV9XB14KxKCw3ztH2QBVVcjGVX1AsB8bgtekFPE5UteDZ > read_file3,,0:00:00.281358,1674112258.350948,0.281358
