client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 1024 < /dev/urandom > test_file1,,0:00:00.015444,1674029067.542393,0.015444
yeongbin_us,ipfs add test_file1,QmaaCpCtAXV1wQUsRsxPeNnKeyxKKKnwSTtgp6DWk4wAKj,0:00:00.151064,1674029069.094888,0.151064
yeongbin_kr,ipfs cat QmaaCpCtAXV1wQUsRsxPeNnKeyxKKKnwSTtgp6DWk4wAKj > read_file1,,0:00:00.540250,1674029071.094011,0.54025
taekyung_kr,ipfs cat QmaaCpCtAXV1wQUsRsxPeNnKeyxKKKnwSTtgp6DWk4wAKj > read_file1,,0:00:00.335009,1674029074.386091,0.335009
yeongbin_us,head -c 1024 < /dev/urandom > test_file2,,0:00:00.017317,1674029076.052108,0.017317
yeongbin_us,ipfs add test_file2,QmcynxRtsHAuZJ7BT7JundgThQUdQgSgHdvf8HnFHKfMLk,0:00:00.142766,1674029077.579187,0.142766
yeongbin_kr,ipfs cat QmcynxRtsHAuZJ7BT7JundgThQUdQgSgHdvf8HnFHKfMLk > read_file2,,0:00:00.413431,1674029079.441562,0.413431
taekyung_kr,ipfs cat QmcynxRtsHAuZJ7BT7JundgThQUdQgSgHdvf8HnFHKfMLk > read_file2,,0:00:00.347642,1674029082.765644,0.347642
yeongbin_us,head -c 5120 < /dev/urandom > test_file3,,0:00:00.013594,1674029084.444568,0.013594
yeongbin_us,ipfs add test_file3,QmX9Sg4cSGYM1m4Pn67RxtP3eovYbdFVzZKUAdZdGNBDcs,0:00:00.142612,1674029085.97489,0.142612
yeongbin_kr,ipfs cat QmX9Sg4cSGYM1m4Pn67RxtP3eovYbdFVzZKUAdZdGNBDcs > read_file3,,0:00:00.417942,1674029087.84637,0.417942
taekyung_kr,ipfs cat QmX9Sg4cSGYM1m4Pn67RxtP3eovYbdFVzZKUAdZdGNBDcs > read_file3,,0:00:00.317179,1674029091.151058,0.317179
yeongbin_us,head -c 5120 < /dev/urandom > test_file4,,0:00:00.016185,1674029093.146888,0.016185
yeongbin_us,ipfs add test_file4,QmVtwrFdd1rr2uFa3RjvYAnofZftFjXo7Wfnxm7adZpXEy,0:00:00.139951,1674029094.771141,0.139951
yeongbin_kr,ipfs cat QmVtwrFdd1rr2uFa3RjvYAnofZftFjXo7Wfnxm7adZpXEy > read_file4,,0:00:00.432563,1674029097.062842,0.432563
taekyung_kr,ipfs cat QmVtwrFdd1rr2uFa3RjvYAnofZftFjXo7Wfnxm7adZpXEy > read_file4,,0:00:00.358656,1674029100.580176,0.358656
yeongbin_us,head -c 10240 < /dev/urandom > test_file5,,0:00:00.014595,1674029102.349326,0.014595
yeongbin_us,ipfs add test_file5,QmcVUTZZ4pDuppvcwtZnCBqgVhZhAATKCH5XXe9DbYLYZ6,0:00:00.151064,1674029103.982304,0.151064
yeongbin_kr,ipfs cat QmcVUTZZ4pDuppvcwtZnCBqgVhZhAATKCH5XXe9DbYLYZ6 > read_file5,,0:00:00.535064,1674029105.962519,0.535064
taekyung_kr,ipfs cat QmcVUTZZ4pDuppvcwtZnCBqgVhZhAATKCH5XXe9DbYLYZ6 > read_file5,,0:00:00.338637,1674029109.288546,0.338637
yeongbin_us,head -c 10240 < /dev/urandom > test_file6,,0:00:00.015994,1674029111.103663,0.015994
yeongbin_us,ipfs add test_file6,QmPkMsPEZuBLF2fdPqFFrdBBpZe5ow38MzYBiK9uEqddV1,0:00:00.132863,1674029112.600184,0.132863
yeongbin_kr,ipfs cat QmPkMsPEZuBLF2fdPqFFrdBBpZe5ow38MzYBiK9uEqddV1 > read_file6,,0:00:00.649863,1674029115.106356,0.649863
taekyung_kr,ipfs cat QmPkMsPEZuBLF2fdPqFFrdBBpZe5ow38MzYBiK9uEqddV1 > read_file6,,0:00:00.355370,1674029118.504167,0.35537
yeongbin_us,head -c 51200 < /dev/urandom > test_file7,,0:00:00.017279,1674029120.164554,0.017279
yeongbin_us,ipfs add test_file7,QmcxUAQysKfiTTyiVQb43tN7FGWu1Skn54EfHhGyMfdxDg,0:00:00.160699,1674029121.797537,0.160699
yeongbin_kr,ipfs cat QmcxUAQysKfiTTyiVQb43tN7FGWu1Skn54EfHhGyMfdxDg > read_file7,,0:00:00.956927,1674029124.27453,0.956927
taekyung_kr,ipfs cat QmcxUAQysKfiTTyiVQb43tN7FGWu1Skn54EfHhGyMfdxDg > read_file7,,0:00:00.388382,1674029127.594864,0.388382
yeongbin_us,head -c 51200 < /dev/urandom > test_file8,,0:00:00.017382,1674029129.370291,0.017382
yeongbin_us,ipfs add test_file8,Qmek3bzX2gaJo8UQTU1ESKRmvLoxbVMF3gaMMCCapKGbhJ,0:00:00.148794,1674029130.883057,0.148794
yeongbin_kr,ipfs cat Qmek3bzX2gaJo8UQTU1ESKRmvLoxbVMF3gaMMCCapKGbhJ > read_file8,,0:00:00.926930,1674029133.445849,0.92693
taekyung_kr,ipfs cat Qmek3bzX2gaJo8UQTU1ESKRmvLoxbVMF3gaMMCCapKGbhJ > read_file8,,0:00:00.402507,1674029137.201901,0.402507
yeongbin_us,head -c 102400 < /dev/urandom > test_file9,,0:00:00.017129,1674029138.850954,0.017129
yeongbin_us,ipfs add test_file9,QmbRo369oZ7fin1uqdQVc4CzG7oNp3yBQLsdzrg12SkXo2,0:00:00.155277,1674029140.580336,0.155277
yeongbin_kr,ipfs cat QmbRo369oZ7fin1uqdQVc4CzG7oNp3yBQLsdzrg12SkXo2 > read_file9,,0:00:01.211248,1674029143.580207,1.211248
taekyung_kr,ipfs cat QmbRo369oZ7fin1uqdQVc4CzG7oNp3yBQLsdzrg12SkXo2 > read_file9,,0:00:00.454385,1674029147.075495,0.454385
yeongbin_us,head -c 102400 < /dev/urandom > test_file10,,0:00:00.017065,1674029148.772885,0.017065
yeongbin_us,ipfs add test_file10,QmWPGyu66RUuEnhx73H5UQWcDz5WJrico6nVq3e9m6StB9,0:00:00.156745,1674029150.710101,0.156745
yeongbin_kr,ipfs cat QmWPGyu66RUuEnhx73H5UQWcDz5WJrico6nVq3e9m6StB9 > read_file10,,0:00:01.024522,1674029153.641983,1.024522
taekyung_kr,ipfs cat QmWPGyu66RUuEnhx73H5UQWcDz5WJrico6nVq3e9m6StB9 > read_file10,,0:00:00.388053,1674029157.070261,0.388053
yeongbin_us,head -c 512000 < /dev/urandom > test_file11,,0:00:00.032065,1674029159.173801,0.032065
yeongbin_us,ipfs add test_file11,QmVGgAXM9oo6mQN95QUDCYkiV4Zf89aRgSj8GvN5Xo6jGn,0:00:00.178612,1674029160.812063,0.178612
yeongbin_kr,ipfs cat QmVGgAXM9oo6mQN95QUDCYkiV4Zf89aRgSj8GvN5Xo6jGn > read_file11,,0:00:02.800632,1674029165.145288,2.800632
taekyung_kr,ipfs cat QmVGgAXM9oo6mQN95QUDCYkiV4Zf89aRgSj8GvN5Xo6jGn > read_file11,,0:00:00.718576,1674029168.992013,0.718576
yeongbin_us,head -c 512000 < /dev/urandom > test_file12,,0:00:00.031960,1674029170.747763,0.03196
yeongbin_us,ipfs add test_file12,QmXZNsJd6tppMesdQtvuVevRE6PKM8A6gFL7Mf93zdgr74,0:00:00.194816,1674029172.57328,0.194816
yeongbin_kr,ipfs cat QmXZNsJd6tppMesdQtvuVevRE6PKM8A6gFL7Mf93zdgr74 > read_file12,,0:00:01.902543,1674029176.225762,1.902543
taekyung_kr,ipfs cat QmXZNsJd6tppMesdQtvuVevRE6PKM8A6gFL7Mf93zdgr74 > read_file12,,0:00:01.013139,1674029180.204929,1.013139
yeongbin_us,head -c 1048576 < /dev/urandom > test_file13,,0:00:00.051495,1674029181.985772,0.051495
yeongbin_us,ipfs add test_file13,QmcLooe2DmXGZNejtm7sJpKxGULaMDbrA1Sfo4zi93mJtM,0:00:00.240854,1674029183.695119,0.240854
yeongbin_kr,ipfs cat QmcLooe2DmXGZNejtm7sJpKxGULaMDbrA1Sfo4zi93mJtM > read_file13,,0:00:02.829278,1674029188.004777,2.829278
taekyung_kr,ipfs cat QmcLooe2DmXGZNejtm7sJpKxGULaMDbrA1Sfo4zi93mJtM > read_file13,,0:00:01.002681,1674029192.019408,1.002681
yeongbin_us,head -c 1048576 < /dev/urandom > test_file14,,0:00:00.051119,1674029193.677959,0.051119
