client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 1024 < /dev/urandom > test_file1,,0:00:00.012797,1674114944.576577,0.012797
yeongbin_us,ipfs add test_file1,QmQ6KUMQ9jDusV6TKpSs4PaNCY45rgaDxhH5AZSCuCobj6,0:00:00.143880,1674114946.072159,0.14388
byungkeun_us,ipfs cat QmQ6KUMQ9jDusV6TKpSs4PaNCY45rgaDxhH5AZSCuCobj6 > read_file1,,0:00:00.234071,1674114947.658597,0.234071
byungkeun_kr,ipfs cat QmQ6KUMQ9jDusV6TKpSs4PaNCY45rgaDxhH5AZSCuCobj6 > read_file1,,0:00:00.484081,1674114949.503644,0.484081
taekyung_kr,ipfs cat QmQ6KUMQ9jDusV6TKpSs4PaNCY45rgaDxhH5AZSCuCobj6 > read_file1,,0:00:00.318450,1674114952.737451,0.31845
yeongbin_kr,ipfs cat QmQ6KUMQ9jDusV6TKpSs4PaNCY45rgaDxhH5AZSCuCobj6 > read_file1,,0:00:00.184085,1674114954.565818,0.184085
yeongbin_us,head -c 1024 < /dev/urandom > test_file2,,0:00:00.012709,1674114955.975747,0.012709
yeongbin_us,ipfs add test_file2,QmNVNS5LUsfSpjsU1KD1dWBmT3TntZyS43Q5ef5DUw2TBU,0:00:00.139331,1674114957.508103,0.139331
byungkeun_us,ipfs cat QmNVNS5LUsfSpjsU1KD1dWBmT3TntZyS43Q5ef5DUw2TBU > read_file2,,0:00:00.230955,1674114959.179838,0.230955
byungkeun_kr,ipfs cat QmNVNS5LUsfSpjsU1KD1dWBmT3TntZyS43Q5ef5DUw2TBU > read_file2,,0:00:00.445911,1674114961.023912,0.445911
taekyung_kr,ipfs cat QmNVNS5LUsfSpjsU1KD1dWBmT3TntZyS43Q5ef5DUw2TBU > read_file2,,0:00:00.310508,1674114964.312099,0.310508
yeongbin_kr,ipfs cat QmNVNS5LUsfSpjsU1KD1dWBmT3TntZyS43Q5ef5DUw2TBU > read_file2,,0:00:00.158319,1674114966.142181,0.158319
yeongbin_us,head -c 5120 < /dev/urandom > test_file3,,0:00:00.012718,1674114967.58015,0.012718
yeongbin_us,ipfs add test_file3,Qmen1AuQTrh1PfZ6oC4ARynGsEjXDfyRW9pC9J6dZYzhjj,0:00:00.137712,1674114969.06616,0.137712
