client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 1024 < /dev/urandom > test_file1,,0:00:00.012571,1674064323.37138,0.012571
yeongbin_us,ipfs add test_file1,Qmdxagk84H851zw8DHtrBt2mwEKFS6e5PBooswPbVhCqAe,0:00:00.156907,1674064324.879967,0.156907
taekyung_kr,ipfs cat Qmdxagk84H851zw8DHtrBt2mwEKFS6e5PBooswPbVhCqAe > read_file1,,0:00:00.629414,1674064328.433445,0.629414
yeongbin_kr,ipfs cat Qmdxagk84H851zw8DHtrBt2mwEKFS6e5PBooswPbVhCqAe > read_file1,,0:00:00.145566,1674064330.271628,0.145566
byungkeun_us,ipfs cat Qmdxagk84H851zw8DHtrBt2mwEKFS6e5PBooswPbVhCqAe > read_file1,,0:00:00.237947,1674064331.847252,0.237947
byungkeun_kr,ipfs cat Qmdxagk84H851zw8DHtrBt2mwEKFS6e5PBooswPbVhCqAe > read_file1,,0:00:00.151602,1674064333.331776,0.151602
yeongbin_us,head -c 1024 < /dev/urandom > test_file2,,0:00:00.012700,1674064334.730221,0.0127
yeongbin_us,ipfs add test_file2,QmNbwrMF5ZWXc9MALJGgzLyF3Ruhhfir7RXgV7jq4g5Ywr,0:00:00.154586,1674064336.21666,0.154586
taekyung_kr,ipfs cat QmNbwrMF5ZWXc9MALJGgzLyF3Ruhhfir7RXgV7jq4g5Ywr > read_file2,,0:00:00.625395,1674064339.752155,0.625395
yeongbin_kr,ipfs cat QmNbwrMF5ZWXc9MALJGgzLyF3Ruhhfir7RXgV7jq4g5Ywr > read_file2,,0:00:00.270768,1674064341.748023,0.270768
byungkeun_us,ipfs cat QmNbwrMF5ZWXc9MALJGgzLyF3Ruhhfir7RXgV7jq4g5Ywr > read_file2,,0:00:00.230322,1674064343.359537,0.230322
byungkeun_kr,ipfs cat QmNbwrMF5ZWXc9MALJGgzLyF3Ruhhfir7RXgV7jq4g5Ywr > read_file2,,0:00:00.162476,1674064344.878952,0.162476
yeongbin_us,head -c 5120 < /dev/urandom > test_file3,,0:00:00.012885,1674064346.276243,0.012885
yeongbin_us,ipfs add test_file3,QmSQJkVzS2cS1ky8Wy15zQLTguFRCDgMSDVMq7KU7eXFKm,0:00:00.135760,1674064347.772112,0.13576
taekyung_kr,ipfs cat QmSQJkVzS2cS1ky8Wy15zQLTguFRCDgMSDVMq7KU7eXFKm > read_file3,,0:00:00.635155,1674064351.351805,0.635155
yeongbin_kr,ipfs cat QmSQJkVzS2cS1ky8Wy15zQLTguFRCDgMSDVMq7KU7eXFKm > read_file3,,0:00:00.159763,1674064353.232248,0.159763
byungkeun_us,ipfs cat QmSQJkVzS2cS1ky8Wy15zQLTguFRCDgMSDVMq7KU7eXFKm > read_file3,,0:00:00.229592,1674064354.832265,0.229592
byungkeun_kr,ipfs cat QmSQJkVzS2cS1ky8Wy15zQLTguFRCDgMSDVMq7KU7eXFKm > read_file3,,0:00:00.284434,1674064356.460426,0.284434
yeongbin_us,head -c 5120 < /dev/urandom > test_file4,,0:00:00.012853,1674064357.932632,0.012853
yeongbin_us,ipfs add test_file4,QmYeaQNPMpdKvidv5zzyLipQYzAH3nuMVLkAec5nhjgewQ,0:00:00.139345,1674064359.437772,0.139345
taekyung_kr,ipfs cat QmYeaQNPMpdKvidv5zzyLipQYzAH3nuMVLkAec5nhjgewQ > read_file4,,0:00:00.595373,1674064362.919883,0.595373
